Date,MASI (Maroc)
2024-02-18,13083.17
2024-02-25,13010.62
2024-03-03,12907.46
2024-03-10,13063.68
2024-03-17,12979.11
2024-03-24,13009.23
2024-03-31,13118.75
2024-04-07,13341.29
2024-04-14,13453.35
2024-04-21,13354.97
2024-04-28,13403.47
2024-05-05,13527.01
2024-05-12,13426.13
2024-05-19,13370.7
2024-05-26,13310.4
2024-06-02,13197.04
2024-06-09,13162.23
2024-06-16,13140.91
2024-06-23,13301.37
2024-06-30,13367.73
2024-07-07,13516.89
2024-07-14,13623.01
2024-07-21,13773.16
2024-07-28,14001.09
2024-08-04,13792.96
2024-08-11,13895.42
2024-08-18,13954.07
2024-08-25,13933.46
2024-09-01,13911.35
2024-09-08,13998.92
2024-09-15,14246.86
2024-09-22,14449.05
2024-09-29,14167.03
2024-10-06,14101.61
2024-10-13,14080.57
2024-10-20,14181.53
2024-10-27,14269.96
2024-11-03,14663.22
2024-11-10,14862.45
2024-11-17,14886.65
2024-11-24,14837.22
2024-12-01,14762.43
2024-12-08,14704.81
2024-12-15,14721.45
2024-12-22,14648.53
2024-12-29,15516.3
2025-01-05,15875.76
2025-01-12,16021.76
2025-01-19,15882.04
2025-01-26,16248.2
2025-02-02,16325.77
2025-02-09,16452.23
2025-02-16,16843.03
2025-02-23,16723.79
2025-03-02,16609.78
2025-03-09,16613.7
2025-03-16,17621.4
2025-03-23,17756.02
2025-03-30,17232.49
2025-04-06,16070.49
2025-04-13,17243.69
2025-04-20,17319.69
2025-04-27,17508.82
2025-05-04,17765.3
2025-05-11,17772.15
2025-05-18,18112.39
2025-05-25,17976.11
2025-06-01,18562.47
2025-06-08,18417.52
2025-06-15,17957.33
2025-06-22,18474.97
2025-06-29,18648.61
2025-07-06,18998.71
2025-07-13,19168.83
2025-07-20,19404.79
2025-07-27,19570.63
2025-08-03,19818.76
2025-08-10,19845.09
2025-08-17,19982.27
2025-08-24,20054.88
2025-08-31,20088.14
2025-09-07,19828.99
2025-09-14,19944.13
2025-09-21,19342.98
2025-09-28,18820.18
2025-10-05,18549.37
2025-10-12,18457.86
2025-10-19,19443.32
2025-10-26,19636.52
2025-11-02,19268.4
2025-11-09,18645.53
2025-11-16,18205.28
2025-11-23,18603.59
2025-11-30,18469.38
2025-12-07,18566.51
2025-12-14,18938.3
2025-12-21,18476.19
2025-12-28,19208.36
2026-01-04,19469.47
2026-01-11,19200.47
2026-01-18,18643.56
2026-01-25,18666.95
2026-02-01,18306.8
2026-02-08,18573.12
2026-02-15,18701.04
2026-02-22,18140.55
2026-03-01,17097.54
2026-03-08,16855.82
2026-03-15,17243.58
2026-03-22,17221.05
2026-03-29,17514.8
2026-04-05,18447.35
2026-04-12,19238.4
2026-04-19,18815.18
2026-04-26,18583.53
2026-05-03,18950.94
2026-05-10,18419.21
2026-05-17,18369.7
2026-05-24,18874.97
2026-05-31,18519.03
2026-06-07,17623.73
